reference version,updated version,SMT solver,iteration,incoming time,outgoing time,f-measure,precision,recall,reference model: number of states,reference model: number of transitions,updated model: number of states,updated model: number of transitions,output model: number of states,output model: number of transitions
BitVise,OpenSSH,msat,2,0.3578648567199707,0.5431818962097168,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,msat,3,0.3627033233642578,0.542191743850708,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,msat,4,0.7028429508209229,0.9734928607940674,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
BitVise,OpenSSH,msat,5,0.3648550510406494,0.5489933490753174,0.23476005188067445,0.26500732064421667,0.21071012805587894,67,859,32,683,71,1361
BitVise,OpenSSH,msat,6,0.37520527839660645,0.5732254981994629,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,msat,7,0.4336435794830322,0.6061959266662598,0.23476005188067445,0.26500732064421667,0.21071012805587894,67,859,32,683,71,1361
BitVise,OpenSSH,msat,8,0.4143202304840088,0.6313683986663818,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
BitVise,OpenSSH,msat,9,0.3834207057952881,0.6170351505279541,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
BitVise,OpenSSH,yices,1,0.33767104148864746,0.433060884475708,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
BitVise,OpenSSH,yices,10,0.3299863338470459,0.42044568061828613,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
BitVise,OpenSSH,yices,2,0.31923627853393555,0.41287660598754883,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,yices,3,0.32536792755126953,0.427947998046875,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
BitVise,OpenSSH,yices,4,0.36734747886657715,0.6968696117401123,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,yices,5,0.33010292053222656,0.430483341217041,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,yices,6,0.34154391288757324,0.4442441463470459,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,yices,7,0.3353755474090576,0.46074652671813965,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,yices,8,0.3626518249511719,0.46662330627441406,0.23216601815823604,0.26207906295754024,0.20838183934807916,67,859,32,683,71,1363
BitVise,OpenSSH,yices,9,0.3316338062286377,0.4464726448059082,0.23216601815823604,0.26207906295754024,0.20838183934807916,67,859,32,683,71,1363
BitVise,OpenSSH,z3,1,0.3890712261199951,0.5662930011749268,0.23216601815823604,0.26207906295754024,0.20838183934807916,67,859,32,683,71,1363
BitVise,OpenSSH,z3,10,0.43708276748657227,0.5600204467773438,0.23216601815823604,0.26207906295754024,0.20838183934807916,67,859,32,683,71,1363
BitVise,OpenSSH,z3,2,0.3696575164794922,0.5424563884735107,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,z3,3,0.3728368282318115,0.5670328140258789,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
BitVise,OpenSSH,z3,4,0.5625383853912354,0.9719340801239014,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
